ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,2,0.918295834,3,3,146.5,3,694.2002315,2,267,3.096715698,123,2,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,1,5.857933154,381212dd4f193246a6df82bd46f0d2bcd04a68d6
0,1,1,1,0,46,0,0,0,0,0,266,2.096715698,158,1,0,0,0,0,1,0,1,1,0,1,1,2,2,1,0,1,3.855815435,86eb651c2c02b4d8f213ae0897139ec661162dda
1,1,1,1,0,4,0,106,2,0.001655093,1,265,10.02087556,122,1,1,0,0,0,0,0,0,0,0,7,1,1,1,1,0,4,3.530952979,9650d0b4ad2df0a64c8a1eff324d9f217cd4c2fb
1,1,1,1,0,1,1,106,2,209.1639236,1,264,9.02087556,121,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,3.530952979,5de0d32e282ea84198306ee3f9cadfb9d1f1342a
0,1,1,1,0,1,1,282,3,0.000474537,1,263,8.027870834,120,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,2.409080683,69165e7757320b51d500befe59c67ed786c81bf7
0,1,1,1,0,1,1,282,3,5.208159722,1,262,7.027870834,119,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,2.250691912,0db824ca182f61d4cdc9482e448218595fdf70c0
0,1,1,1,0,1,1,282,3,0.000243056,1,261,6.099289801,118,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,5,3.699189098,9c90e58f7f2303c2e4d099f206b9b9385c104be5
0,2,3,3,0.414758144,50,11,161.6666667,4,142.0499421,3,260,5.099289801,137,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,5,2.966020563,ce02a83054ef028cc1e7115009e932fc17958468
0,1,1,1,0,1,1,33,1,228.8591898,1,259,4.103770003,156,1,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,5,5.511359564,6c57ad5c8cb8fe7d5d6152c61bbbd00a419623ea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,5,4.388178903,32f58578f5a0b184fc836f9d397aa0bfc8e68ee6
0,1,1,2,0.20183993,60,67,290,3,0.153113426,1,3,3,2,1,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,4,5.442044846,69b3b892098d6002e899e0e0d91b49c348d474c0
0,1,1,1,0,3,1,151,2,502.8670255,1,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,4,5.395835034,edacf82a8d6d16303f9c9102ee750b073d425a6c
0,1,1,2,1,4,2,144,2,361.7836632,2,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,4,5.580674282,ccbd307a80e5af1419e08e34a622b8117659edac
0,1,1,2,0.993447238,333,339,293,2,248.3789699,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,5.487688209,5798da818049ed47580a4551368f9ebaf39e12ed
0,1,1,1,0,4,4,282,3,171.814375,1,258,4.247604537,116,1,0,0,0,0,0,0,0,0,0,7,1,2,2,1,0,1,4.312411928,b3bd469841def5bfc8df5cb152cb51edfb1bcfd0
1,1,1,1,0,1,2,107,2,0.593576389,1,257,18.88649513,115,1,1,0,0,0,0,0,0,0,0,7,0,2,2,1,0,5,2.958386827,5db75c7bce874c375a8f6f4e6a8a6e42e7e7e1ba
0,1,1,1,0,1,1,282,3,4.63E-05,1,256,17.88963388,114,1,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,4,2.409080683,cf92d2e3bcaf13b8036546b8551dade534312ed3
0,1,1,1,0,2,3,283,3,0.005393519,1,255,16.88963388,113,1,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,4,2.250691912,da3b87d6a28577e13f7060da5bdfcf58eff76272
0,1,1,1,0,1,1,283,3,1.098113426,1,254,15.88963388,112,1,0,0,0,0,0,0,0,0,0,7,1,2,2,1,0,4,4.759320866,a2ea9d61226df239975a51f09f650a05e924d8bc
1,1,1,1,0,1,1,107,2,0.000740741,1,253,14.89370389,111,1,1,0,0,0,0,0,0,0,0,7,1,1,1,1,0,4,2.958386827,0c1d65f4c8d1009dce68cf7c993c3ac16fc4a865
1,1,1,1,0,4,1,104,2,154.0821296,1,252,13.89370389,110,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,2.958386827,46ae6e7b14848161410f11792d0ea2d6ec1e8d74
