ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,2,2,2,0.818038653,157,75,95.5,3,3.71462963,1,4355,80.34359123,1399.5,1,0,0,0,0,1,0,0,0,1,7,0,0,0,1,0,1,4.704081237,9822ea9d3722efd91564a5339e7b87060025d345
0,1,1,2,1,22,6,228.5,1,32.28186343,2,4354,79.34359123,2081,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,1,4.920636775,8c7c161442103c84af7a6985553c41276dd604b5
0,4,4,4,1.187846869,224,2,40.25,2,3.928865741,2,4353,78.34361514,1344.25,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4.944477853,8da056c1d0dc47adcd24a0702a23b88ce827e70b
0,2,2,4,1.932914564,12,3,948.5,15,121.0562587,4,4352,84.04889131,1334.5,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,7,7.426520181,74c7c1b42eb639b5449d12d6f777823f4d034530
0,1,1,1,0,17,2,53,3,678.5118866,1,4351,83.0691045,2657,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,7,5.262624197,bd40904ff91dc3c24fa3598a746e0c3edc90268f
0,3,4,4,1.590240297,299,94,207,12,3.289288194,1,4350,84.07981004,2092.333333,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,7,5.638270477,86a5836a01222b71b80a7bf4812176b676f858b0
0,4,7,9,2.749035642,137,4,149.6666667,2,31.67490998,6,4349,83.89853107,1281,2,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,7,5.24226687,65d3f42082664926a8f491318b61049325b69e55
1,1,1,1,0,7,0,157,5,83.43056713,1,4348,86.02057855,2076,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,6,6.250383976,47e1af9e77f59714b9897bbd96954522e6d4e0b4
0,3,10,14,2.235453753,240,380,351.0714286,8,105.4445263,9,4347,85.04402083,2090.333333,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,6,5.443078131,94bf7a5861fa6eaf7145db728d0577d415db4823
0,1,1,6,2.249782047,46,43,1103.166667,7,3.247077546,2,291,8.308819031,290,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,2.182828413,fbc050aac74a99cd085c5a3a1215a805ae78b2f3
0,1,1,1,0,10,10,1115,16,1.691678241,1,2,0.005864372,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,6.38085502,c26745d3f936ed0a60f5752e591ef6b4defbe875
0,1,1,13,3.192135217,84,23,785.8461538,6,4.557951389,1,290,8.104574954,289,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,2.182828413,760e5e091388a1d18cd33282772b733eccd30062
0,2,3,3,1.097677826,154,2,660,4,5.463040123,2,4346,85.22675727,2363.5,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,1,7.40143939,625943a2164c0556da5d57d1538ec172da703580
0,3,8,14,3.34848349,305,105,500.7142857,19,68.18720238,7,4345,84.57957315,1689.666667,2,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,1,6.05192503,21315bb894e659faabb52a55e86a94d9d7316a50
0,2,4,4,1.705732862,34,8,213.5,8,53.5040625,3,4344,83.96756117,2361.5,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,1,5.145887285,e8dae9fc9b6ff31d739838f411209c6a8ae18ba5
1,1,1,1,0,6,1,62,3,572.2999653,1,4343,83.34946905,2071,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,1,5.11861216,45c7aaadc413cda961b6b90f9fcbb25a70e486c9
1,1,1,1,0,6,1,33,3,572.2995602,1,4342,82.34978233,2070,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,5.11861216,970cc604b8b9c595201bdd1ba10e98304d808b39
0,4,8,12,2.971305994,600,142,203.3333333,23,86.63071373,7,4341,82.76104775,1599.75,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,7,6.636847902,e376886adb330a9e393befe991a9e14fbd8a27dd
0,3,10,15,3.384601939,385,12,225.0666667,16,32.94192052,4,4340,82.92507728,1686.666667,2,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,7,6.190233158,d9869f8134b1a29cf2b683743c2d5ed522ae058b
0,4,9,11,2.767937976,377,30,263.3636364,16,24.39633312,6,4339,81.95922291,1298.75,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,7,5.29277522,00c8413e84e74e7eebbf4c16f7863ce149a1e520
1,1,1,1,0,1,1,347,1,440.9817477,1,4338,81.47084315,310,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,7,5.356275915,b4f58dc0ed78455806384effa3f6e674aa0ef323
0,2,3,4,1.754936917,156,0,160,6,0.014105903,1,4337,80.49309846,2356.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,6.405798842,2155e5aed480c2e4703803006e7faf691ab263f7
0,3,12,24,3.908487701,92,70,262.0833333,30,5.697415606,5,4336,80.01833015,1758.666667,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,7,4.981952199,6d4165c9a654ad07eee7b0553ef0989415061a34
0,2,7,7,2.32817383,107,2,211.1428571,4,108.932796,5,4335,79.01863604,2354.5,1,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,7,5.616364926,5149638c4cd82b60e8a334cfb33dc7d2fc818cdb
0,1,1,1,0,236,0,0,0,0,0,7,2.051231301,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,9.21187018,14eb3ac1440a4e393e5c73292bcff0569d966e96
0,2,3,7,2.261263405,476,176,193.5714286,12,10.97061177,3,4334,78.29779316,2353.5,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,7,6.023420703,e4b131defbc27f206611c0dba640b3a57d7c1e67
0,2,5,6,2.034899642,142,24,469.6666667,5,11.6713696,4,4333,78.36692747,2352.5,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,7,5.040718653,5c0602de2dfa7067fb7b6be4bdc8aa34364a4b04
0,3,6,7,2.36293026,56,1,217.5714286,28,55.91936343,2,4332,80.77550527,1755.666667,2,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,7,4.867431858,935a6ebd361256b64078e4d0c59a03d4c8e8bef0
1,1,1,1,0,5,1,237,1,0.003449074,1,4331,79.7764233,2641,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,7,6.976505613,ae2de081a79e15439b65d4fc78a9e13144ef5b2e
0,2,4,4,1.711476876,50,7,174.75,2,81.5143287,4,4330,78.77725444,2350,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,7,4.42809127,fd9b64e562ef22751a3782fe27017c28ae2f76ac
0,1,1,2,0.970950594,5,0,699.5,9,27.56801505,2,4329,77.77733634,2059,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,7,4.89018939,f81a2b42e52fa95c1c242670dbc16061d5b78305
0,1,1,1,0,18,0,133,2,20.13533565,1,370,11.10798378,16,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,6.48533799,5a80f51b94b25c74a8d415e9189bcb3ec938d4fb
0,1,1,35,4.80377225,504,488,677.3714286,13,46.78760582,13,289,8.092826565,288,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,5,2.182828413,a9e79095cba1de34a026d4e02167dfc6403b7268
0,1,1,1,0,4,0,123,10,1.996736111,1,369,11.6161133,56,1,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,3,3.084091795,056e9dd26bf488e39a220e4237df31ee58ec06b9
0,3,12,13,3.471354487,19,19,346.3076923,12,282.8070103,12,6,0.100031819,2.333333333,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,3,11.36443261,23d0613082f684e83d07e679c2ed74e1ed1dae0b
