ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
1,4,4,4,1.950212065,7,7,88.75,2,6.94E-05,1,72,11.74970585,37.5,1,0,0,0,0,0,0,0,0,0,7,1,3,2,1,0,3,2.347775051,8368a841d623c0896db6297767208a6c42b58f27
1,4,4,4,1.950212065,7,7,88.75,2,0.00275463,1,71,10.74970585,36.5,1,0,0,0,0,0,0,0,0,0,7,1,2,1,1,0,3,1.873887883,c74afb4d9b896b7e01f6e08b28fe4d814cd56c94
1,1,1,1,0,0,1,1,2,0.001446759,1,70,9.749705848,60,1,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,1.973385546,07662efaf57bf3cbee85a67c615ad81bac35f0f4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,3,3.625678824,4e5c41d9db973ff8d710db31be1c70bf633a2028
0,1,1,1,0,1,1,1,2,0.004456019,1,250,10.88942912,116,1,1,0,0,0,0,0,0,0,0,7,1,1,1,1,0,3,3.8465952,e9a2eeb5c95d4b919d8b8380aaca82f18ce7c563
1,4,4,4,1.950212065,7,7,88.75,2,0.006215278,1,249,9.889429122,56.75,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,3.199191259,c87b1720f5df4bebcf76a57a4d702701bbfbc5b1
1,1,1,1,0,0,1,1,2,0.00150463,1,69,8.749705848,59,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1.973385546,4e2e3511653985bba2201991dcaeeb4b1acd2c00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,3,3.625678824,60b944f6736f9e2fd89c6116ff8af576b96ff997
0,1,1,1,0,1,1,1,2,0.008680556,1,248,8.889429122,114,1,1,0,0,0,0,0,0,0,0,7,0,1,1,1,0,3,3.8465952,d88e41db295811ca8be193a7b17f969d06db9a0c
1,4,4,4,1.950212065,7,7,88.75,2,0.165870949,2,68,7.749705848,35,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,3,1.873887883,20170a50d720cc9f5172b10f54ca8b7fad65f931
1,1,1,1,0,0,1,1,2,0.005694444,1,67,6.749705848,57,1,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,1.973385546,09ed954cbee265bf8af9bcb8fc95d0b63d147fdf
0,1,1,1,0,1,0,0,2,0.002152778,1,247,7.889429122,113,1,1,0,0,0,0,0,0,0,0,7,0,2,1,1,0,3,4.945207489,eb6e1ae1abe838a94e2050b7949de6e3f7382444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,0,3,3.625678824,604c2606b6fe596c2f06a844d7dea628b37c7c09
0,1,1,1,0,2,2,1192,1,456.9501736,1,246,6.889429122,55,1,0,0,0,0,1,0,0,0,0,7,0,3,1,1,0,3,4.945207489,6857a34508909cdf1902bdc28dda09e3a475cfab
1,1,1,1,0,0,1,1,2,0.001006944,1,66,5.749705848,56,1,1,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,1.973385546,9c26b98c1c96593047b37c8c0d41a41cd8b90767
0,2,2,2,1,2,0,22.5,2,0.208657407,2,245,5.889429122,61.5,2,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,3,3.000027001,d0cb180bb2a5c9f4253f4d1b70bf6c3063fc41b1
1,4,4,4,1.950212065,7,7,88.5,2,0.000104167,1,65,4.749705848,33.5,1,0,0,0,0,0,0,0,0,0,7,1,3,2,1,0,2,2.347775051,731ee9a9bab116ab13493ac8ad1597bb04340d87
1,4,4,4,1.950212065,7,7,88.5,2,13.75965278,1,64,3.749705848,32.5,1,0,0,0,0,0,0,0,0,0,7,1,3,1,1,0,2,1.873887883,72c5165df694759e2d4fd4ac486ea26402e3b84f
1,1,1,1,0,0,1,1,2,0.001678241,1,63,2.749705848,53,1,1,0,0,0,0,0,0,0,0,7,0,3,0,0,0,2,1.973385546,cc4e1d573403adff696cc0acb6441dc02790e7ca
0,1,1,1,0,1,0,0,2,13.75811343,1,244,4.891118671,111,1,1,0,0,0,0,0,0,0,0,7,0,3,1,1,0,2,1.334289576,3110629a9667f2f662a3c3fb2ef48fc16cf2a9b3
0,1,1,1,0,2,0,934,1,437.3932176,1,243,3.893430964,54,1,0,0,0,0,1,0,0,0,0,2,1,4,1,0,1,1,4.434715365,657c3cdc05c70e143232902c3801816ac47d2032
1,4,4,4,1.950212065,7,7,88.5,2,9.26E-05,1,62,3.769527548,31.25,1,0,0,0,0,0,0,0,0,0,7,1,3,2,1,0,3,2.347775051,c861bf0557701eb708fc3882f728c55104709a51
1,4,4,4,1.950212065,7,7,88.5,2,410.0477431,1,61,2.769527548,30.25,1,0,0,0,0,0,0,0,0,0,7,1,3,1,1,0,3,1.873887883,fc28a4fefa9d56a0a257d30f211fd6a6091b3f38
