ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,1,0,2,2,46,5,12.88782407,1,1488,20.7498385,895,1,0,0,1,0,0,0,0,0,0,7,0,1,1,1,0,3,3.214777811,622f5bff82b317fc1a0d429627ae5efaad271c90
0,1,1,1,0,8,1,1987,50,2.753472222,1,1487,28.31197479,894,1,1,0,0,0,0,0,0,0,0,7,1,2,2,1,0,6,5.754765174,db0e98472e436b91a4d96e82adaea475483d227e
1,1,1,1,0,1,1,111,9,0.001296296,1,1486,27.31557806,749,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,6,3.489941985,7368fe13cc41560c39a98f7a3bd99040dd9905bb
0,1,2,2,0.873981048,14,3,188,19,0.071076389,2,1485,26.31557806,748,1,0,0,0,0,1,0,0,0,0,4,0,2,2,1,0,6,5.614189606,039c5d273eef91eeff0cfad49ad2279feef385e8
0,2,2,2,0.918295834,4,8,219,10,0.003043981,1,1484,25.31559704,602.5,1,0,0,0,0,1,0,0,0,0,2,0,2,2,1,1,6,4.416946574,0255fb8086822de769bbbcc78a8040323b41ae80
0,2,4,5,2.126421958,37,6,123,10,216.5419676,2,1483,24.31563502,601.5,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,6,4.637422388,c347c1e4016ac1126894ce7acaca559cd16e4737
1,1,1,1,0,4,0,260,14,84.77571759,1,1482,23.32216924,745,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,6,4.17897912,ca27d8e4a3cbd4d0e255624c6b2638ee0a565ce6
1,1,1,1,0,5,8,472,5,91.49618056,1,1481,22.32220927,744,1,0,0,0,0,1,0,0,0,1,7,0,1,1,1,0,5,4.317063981,e3b31424d8d5ba21d18a1c930bd0d799de52cd7f
0,1,1,3,1.584962501,3,0,8,2,29.71645833,1,1480,21.32224535,456,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,5,3.74034116,f81007a434d21b53dc9e717d233fe8aeabb66eb3
0,1,1,2,0.956155024,23,30,163,16,42.38177083,2,1479,20.32516932,455,1,0,0,0,0,1,0,0,0,1,5,1,2,2,1,0,5,3.962581119,4746a50b7e3f8f561b5d8d6a9dab37cbbde73dd9
1,1,1,1,0,43,20,174,4,0.00525463,1,1478,19.32516932,454,1,0,0,0,0,1,0,0,0,0,4,0,1,1,1,0,5,4.133274245,5f9515a4271813906d95a3ee92e03fa34aa9d585
0,1,1,2,0.956764491,85,71,80,4,580.6903125,2,1477,18.32516932,453,1,0,0,0,0,1,0,0,0,1,5,0,2,2,1,0,5,3.850287597,ea40d1c02e61ff90bba1e8a8218f50eed111282b
0,1,1,1,0,13,8,41,5,14.12690972,1,1476,17.87988237,893,1,0,0,1,0,0,0,0,0,0,5,1,2,2,1,0,4,4.332307747,479ac9ab04d7f5e183b0061e2898549fb27f4ec1
1,1,1,1,0,2,4,1989,50,5.923344907,1,1475,17.63466893,892,1,1,0,0,0,0,0,0,0,0,7,0,2,2,1,0,3,2.437874908,e0f93b2222fcf67a8c113b113d143b1e4cf88df6
0,2,2,2,0.566509507,15,0,205.5,10,376.6571701,2,1474,16.64300226,597.5,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,3,5.272792428,61673c4816337b32f196278da863e11bb200d8b7
0,2,2,2,1,12,0,228.5,12,41.12021991,2,1473,15.64590586,596.5,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,3,6.458169574,642ec5190da4e4c61281112c798efe076035bae8
1,1,1,1,0,0,2,1991,50,28.26730324,1,1472,14.92523208,891,1,1,0,0,0,0,0,0,0,0,7,0,1,1,1,0,5,4.08581823,0e98b154dd761b7e4e759eaf813ba069a8331221
0,1,1,1,0,2,2,41,5,22.14516204,1,1471,16.3328894,890,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,4,4.044680883,648d2ef7541b875b3cf8e62a17306c28145c8704
1,2,2,2,0.970950594,3,2,331,2,11.33104745,2,1470,22.47031877,815,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,2.833165497,fc04aa35738c11a3774bae9834fe1d9ecbad49f7
0,2,2,2,0.985228136,4,3,589,37,0.200931713,2,1469,21.47031877,595,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,4,5.928493935,238097ece55de395cbb2913dfd064057b481a5ca
0,2,2,2,0.503258335,4,5,903.5,37,0.486770833,1,1468,20.47031877,813.5,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,5.267616015,88cb8015b01640523c50ac11dcacd48977333715
0,1,1,1,0,1,1,31,1,0.093981481,1,1467,20.17336629,449,1,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,4,4.479847835,4e0c047d2448f3de8fb6b0aacb90a3c5094405e9
0,1,1,3,1.584962501,3,0,7,2,280.8590239,3,1466,19.17345987,448,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,2.536265404,15326cacf53bc7aaa797117d26f4e6ac587eb005
0,3,3,3,1.105013997,19,0,606.3333333,37,7.198395062,2,1465,18.17347018,690.6666667,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5.227023323,147cd7999c2a19391df009d3a9207af7ff7f7b67
0,2,2,2,0.89049164,26,0,567,37,0.004878472,1,1464,17.17347018,591.5,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,4,5.330328843,c7bebc27a4af5bbd27ae2c91c8341fb07f10a2b8
0,1,1,1,0,1,1,1134,37,0.006956019,1,1463,16.17352462,736,1,0,0,0,0,1,0,0,0,0,4,0,1,1,1,0,4,6.156047347,ffcb4dec3f970bbdb45d252935ff348c58935d66
0,1,1,1,0,1,1,1134,37,21.57434028,1,1462,15.17353493,735,1,0,0,0,0,1,0,0,0,0,4,0,1,1,1,0,4,5.767054918,eb78a633d8d29b927e0cabf235fc1898965e13a3
0,1,1,1,0,1,1,1991,50,41.91907407,1,1461,15.44184356,886,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,4,4.487022065,2402b0aa250da34c0e5fd61218b58af57a8c7618
0,1,1,1,0,1,1,41,5,14.52259259,1,1460,15.40403367,885,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,3,3.184714252,f5f8c5e9aa7595babe1b3277384dcc00d72d514b
1,1,1,1,0,1,1,95,4,0.000787037,1,1459,15.20445172,445,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,4,2.355600214,fb6f150c864210c8a471d083daca34e2c9722608
0,2,2,2,0.721928095,5,0,226,11,318.6654861,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,4,7.120584942,ec269be04a18ff28c85cd98dfa5d10cb3da5cb53
0,1,1,1,0,1,1,53,1,545.8765625,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,5.977602392,18477e2f38161f9b28a191d4ac618b7136b85947
