proj,algo,AUC,F1,accuracy
candybar-library,DT,0.62,0.69,0.61
contextlogger,DT,0.39,0.38,0.24
future,DT,0.39,0.27,0.28
GI,DT,0.52,0.19,0.14
grammarviz2,DT,0.39,0.18,0.21
groupdate,DT,0.52,0.33,0.39
mtsar,DT,0.59,0.51,0.54
parallec,DT,0.61,0.67,0.61
pghero,DT,0.49,0.32,0.42
ransack,DT,0.52,0.26,0.42
SAX,DT,0.46,0.3,0.23
searchkick,DT,0.67,0.5,0.67
SemanticMediaWiki,DT,0.7,0.39,0.69
solr-iso639-filter,DT,0.65,0.65,0.61
steve,DT,0.43,0.13,0.2
candybar-library,RF,0.71,0.79,0.72
contextlogger,RF,0.74,0.62,0.63
future,RF,0.37,0.25,0.26
GI,RF,0.66,0.25,0.39
grammarviz2,RF,0.69,0.34,0.48
groupdate,RF,0.73,0.53,0.73
mtsar,RF,0.61,0.52,0.6
parallec,RF,0.87,0.88,0.87
pghero,RF,0.72,0.54,0.75
ransack,RF,0.73,0.42,0.65
SAX,RF,0.67,0.43,0.5
searchkick,RF,0.71,0.54,0.7
SemanticMediaWiki,RF,0.79,0.46,0.71
solr-iso639-filter,RF,0.7,0.68,0.66
steve,RF,0.52,0.16,0.44
candybar-library,LR,0.75,0.76,0.71
contextlogger,LR,0.94,0.91,0.94
future,LR,0.47,0.25,0.55
GI,LR,0.86,0.48,0.79
grammarviz2,LR,0.87,0.65,0.87
groupdate,LR,0.77,0.56,0.74
mtsar,LR,0.65,0.53,0.69
parallec,LR,0.89,0.89,0.89
pghero,LR,0.76,0.58,0.77
ransack,LR,0.72,0.48,0.81
SAX,LR,0.86,0.69,0.83
searchkick,LR,0.76,0.6,0.75
SemanticMediaWiki,LR,0.8,0.54,0.81
solr-iso639-filter,LR,0.77,0.71,0.8
steve,LR,0.73,0.42,0.87
candybar-library,NB,0.69,0.84,0.65
contextlogger,NB,0.51,0.52,0.7
future,NB,0.47,0.34,0.73
GI,NB,0.7,0.2,0.5
grammarviz2,NB,0.71,0.26,0.58
groupdate,NB,0.71,0.37,0.75
mtsar,NB,0.59,0.53,0.68
parallec,NB,0.85,0.75,0.85
pghero,NB,0.64,0.38,0.53
ransack,NB,0.61,0.27,0.82
SAX,NB,0.74,0.37,0.61
searchkick,NB,0.52,0.4,0.73
SemanticMediaWiki,NB,0.61,0.31,0.78
solr-iso639-filter,NB,0.69,0.58,0.66
steve,NB,0.62,0.15,0.77
candybar-library,SVC,0.62,0.62,0.74
contextlogger,SVC,0.61,0.61,0.45
future,SVC,0.47,0.47,0.25
GI,SVC,0.54,0.54,0.18
grammarviz2,SVC,0.55,0.55,0.24
groupdate,SVC,0.58,0.58,0.37
mtsar,SVC,0.58,0.58,0.47
parallec,SVC,0.67,0.67,0.67
pghero,SVC,0.55,0.55,0.33
ransack,SVC,0.52,0.52,0.24
SAX,SVC,0.57,0.57,0.33
searchkick,SVC,0.53,0.53,0.32
SemanticMediaWiki,SVC,0.65,0.65,0.4
solr-iso639-filter,SVC,0.52,0.52,0.43
steve,SVC,0.51,0.51,0.16
candybar-library,SPEA,0.77,0.87,0.8
contextlogger,SPEA,0.97,0.96,0.98
future,SPEA,0.84,0.66,0.84
GI,SPEA,0.86,0.52,0.88
grammarviz2,SPEA,0.88,0.78,0.95
groupdate,SPEA,0.81,0.64,0.83
mtsar,SPEA,0.68,0.58,0.68
parallec,SPEA,0.92,0.92,0.92
pghero,SPEA,0.8,0.63,0.82
ransack,SPEA,0.77,0.58,0.88
SAX,SPEA,0.85,0.7,0.88
searchkick,SPEA,0.82,0.7,0.86
SemanticMediaWiki,SPEA,0.85,0.62,0.9
solr-iso639-filter,SPEA,0.74,0.71,0.78
steve,SPEA,0.77,0.52,0.93
